date;TempEau;TempAir;TempPAC;TempInt;PHVal;RedoxVal;CLVal;PompePH;PompeCL;PompeALG;PP;PAC;Auto
14-10-23 00:14:02;24.43;24.31;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 00:14:02;24.43;24.31;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 00:29:02;24.43;24.31;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 00:29:02;24.43;24.25;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 00:44:02;24.43;24.25;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 00:44:02;24.43;24.31;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 00:59:02;24.37;24.18;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 01:13:13;24.37;24.18;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 01:14:02;24.31;24.12;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 01:29:02;24.25;24.06;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 01:44:02;24.18;24.06;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 01:59:02;24.12;24.00;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 02:13:03;24.12;24.00;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 02:14:02;24.12;24.00;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 02:14:02;24.12;23.93;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 02:29:02;24.06;23.93;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 02:29:02;24.06;23.87;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 02:34:59;24.06;23.87;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 02:34:59;24.06;23.87;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 02:34:59;24.06;23.87;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 02:35:00;24.06;23.87;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 02:35:00;24.06;23.87;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 02:35:00;24.06;23.87;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 02:35:00;24.06;23.87;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 02:35:01;24.06;23.87;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 02:35:01;24.06;23.87;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 02:35:01;24.06;23.87;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 02:35:01;24.06;23.87;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 02:35:02;24.06;23.87;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 02:35:02;24.06;23.87;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 02:35:02;24.06;23.87;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 02:44:01;24.00;23.81;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 02:59:01;23.87;23.75;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 03:14:01;23.81;23.75;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 03:14:01;23.81;23.62;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 03:29:01;23.75;23.62;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 03:29:01;23.75;23.62;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 03:34:46;23.75;23.62;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 03:44:01;23.68;23.62;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 03:44:01;23.68;23.56;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 03:59:01;23.62;23.56;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 03:59:01;23.62;23.50;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
